Reference, Value, Footprint, Datasheet
U2,L7805,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf
U1,LF33_TO220,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf
C1,.1uF,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~
C2,.33uF,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~
C3,2.2uF,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~
C4,.1uF,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~
H0,MountingHole,MountingHole:MountingHole_4mm,~
H1,MountingHole,MountingHole:MountingHole_4mm,~
H2,MountingHole,MountingHole:MountingHole_4mm,~
H3,MountingHole,MountingHole:MountingHole_4mm,~
J00,Barrel_Jack_Switch,Connector_BarrelJack:BarrelJack_Horizontal,~
D0,POW_LED,LED_THT:LED_D3.0mm,~
R0,2K,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,~
D1,1N4001,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,~
U400,GAL16V8,Package_DIP:DIP-20_W7.62mm_LongPads,
C400,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
U300,68681,Package_DIP:DIP-40_W15.24mm_LongPads,
U301,MCP2221AxP,Package_DIP:DIP-14_W7.62mm_LongPads,http://ww1.microchip.com/downloads/en/DeviceDoc/20005565B.pdf
Y300,3.6864 MHz,Crystal:Crystal_HC18-U_Vertical,~
22pF2,CX2,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
22pF1,CX1,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
J300,Conn_01x02_Male,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,~
C7,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
J302,USB_B,Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal, ~
J301,Conn_01x03_Male,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,~
RN300,10K,Resistor_THT:R_Array_SIP5,http://www.vishay.com/docs/31509/csc.pdf
J303,Conn_01x07,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,~
C300,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C301,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
RN301,2K,Resistor_THT:R_Array_SIP5,http://www.vishay.com/docs/31509/csc.pdf
D300,LED,LED_THT:LED_D3.0mm,~
D301,LED,LED_THT:LED_D3.0mm,~
U330,25LCxxx,Package_DIP:DIP-8_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf
J330,Conn_02x04_Top_Bottom,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
U331,74LS126,Package_DIP:DIP-14_W7.62mm,http://www.ti.com/lit/gpn/sn74LS126
C331,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C330,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
U101,74LS07,Package_DIP:DIP-14_W7.62mm,www.ti.com/lit/ds/symlink/sn74ls07.pdf
J320,Micro_SD_Card_Det,Connector_Card:microSD_HC_Molex_104031-0811,https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1
RN320,10k,Resistor_THT:R_Array_SIP6,http://www.vishay.com/docs/31509/csc.pdf
U100,68008D,Package_DIP:DIP-48_W15.24mm_LongPads,https://www.nxp.com/docs/en/reference-manual/MC68000UM.pdf
RN1,R_Network10,Resistor_THT:R_Array_SIP11,http://www.vishay.com/docs/31509/csc.pdf
U102,GAL16V8,Package_DIP:DIP-20_W7.62mm_LongPads,
CLK1,10.000 MHz,Oscillator:Oscillator_DIP-14,http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf
C100,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C101,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C102,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C103,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
U110,LM555,Package_DIP:DIP-8_W7.62mm_LongPads,http://www.ti.com/lit/ds/symlink/lm555.pdf
SW110,SW_Push,Button_Switch_THT:SW_PUSH_6mm_H8.5mm,~
C111,10nF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
,10uF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C110,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C113,100nF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
U200,AS6C4008-55PCN,Package_DIP:DIP-32_W15.24mm_LongPads,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf
U202,28C256,Package_DIP:DIP-28_W15.24mm_LongPads,http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf
C200,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C201,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
C202,22pF,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,~
U201,AS6C4008-55PCN,Package_DIP:DIP-32_W15.24mm_LongPads,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf
